model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
jnieus01/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-01-05T19:59:29.000Z,,4,finetune
loresiensis/distilbert_classificator,distilbert-base-uncased,tweet_eval,0.791,text-classification,5e-05,8,3.0,,2023-02-01T15:17:39.000Z,,4,finetune
wesleyacheng/angry-birds-classifier,distilbert-base-uncased,tweet_eval,,text-classification,,,,,2023-07-06T19:34:39.000Z,,4,finetune
barbieheimer/MND_TweetEvalBert_model,bert-base-uncased,tweet_eval,,text-classification,2e-05,16,5.0,,2023-08-22T12:40:58.000Z,,4,finetune
Priyanka-Balivada/bert-3-epoch-sentiment,bert-base-uncased,tweet_eval,0.6746,text-classification,2e-05,16,3.0,,2024-02-19T15:20:18.000Z,,4,finetune
TingTing0104/distilbert-base-uncased-finetuned-tweet_hate,distilbert-base-uncased,tweet_eval,0.77,text-classification,2e-05,32,5.0,,2023-12-27T05:20:28.000Z,,4,finetune
TransferGraph/JonatanGk_roberta-base-bne-finetuned-cyberbullying-spanish-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6,text-classification,0.0005,32,8.0,,2024-02-29T13:27:34.000Z,,4,finetune
TransferGraph/oferweintraub_bert-base-finance-sentiment-noisy-search-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6576,text-classification,0.0005,32,8.0,,2024-02-29T13:31:17.000Z,,4,finetune
TransferGraph/oferweintraub_bert-base-finance-sentiment-noisy-search-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.7032,text-classification,0.0004,32,4.0,,2024-02-29T12:49:27.000Z,,4,finetune
TransferGraph/Jeevesh8_bert_ft_cola-88-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.7032,text-classification,0.0004,32,4.0,,2024-02-29T12:52:07.000Z,,4,finetune
TransferGraph/Giyaseddin_distilroberta-base-finetuned-short-answer-assessment-finetuned-lora-tweet_eval_hate,,tweet_eval,0.74,text-classification,0.0004,32,4.0,,2024-02-29T13:42:49.000Z,,4,finetune
TransferGraph/connectivity_bert_ft_qqp-1-finetuned-lora-tweet_eval_hate,,tweet_eval,0.742,text-classification,0.0004,32,4.0,,2024-02-29T13:48:21.000Z,,4,finetune
Impulse2000/sentiment-transformer,,tweet_eval,,text-classification,,,,,2026-04-09T05:29:35.000Z,,4,finetune
aXhyra/demo_emotion_31415,distilbert-base-uncased,tweet_eval,,text-classification,7.551070618629693e-05,16,4.0,,2021-12-13T18:17:16.000Z,,3,finetune
aXhyra/demo_sentiment_1234567,distilbert-base-uncased,tweet_eval,,text-classification,8.62486660723695e-06,64,4.0,,2021-12-13T23:06:38.000Z,,3,finetune
aXhyra/emotion_trained_31415,distilbert-base-uncased,tweet_eval,,text-classification,6.961635072722524e-05,16,4.0,,2021-12-12T13:14:50.000Z,,3,finetune
aXhyra/emotion_trained_final,distilbert-base-uncased,tweet_eval,,text-classification,1.502523631581398e-05,4,4.0,,2021-12-12T10:50:02.000Z,,3,finetune
aXhyra/irony_trained,distilbert-base-uncased,tweet_eval,,text-classification,2.6774391860025942e-05,4,4.0,,2021-12-10T21:49:28.000Z,,3,finetune
aXhyra/irony_trained_1234567,distilbert-base-uncased,tweet_eval,,text-classification,2.6774391860025942e-05,4,4.0,,2021-12-12T12:22:43.000Z,,3,finetune
aXhyra/sentiment_trained_31415,distilbert-base-uncased,tweet_eval,,text-classification,1.2140338797769864e-05,4,4.0,,2021-12-11T21:59:51.000Z,,3,finetune
aXhyra/test_emotion_trained_test,distilbert-base-uncased,tweet_eval,,text-classification,2.458132814624325e-05,64,4.0,,2021-12-12T17:23:27.000Z,,3,finetune
marcolatella/Hps_seed1,distilbert-base-uncased,tweet_eval,,text-classification,2.6525359309081455e-05,32,5.0,,2021-12-10T00:59:04.000Z,,3,finetune
marcolatella/hate_trained_1234567,distilbert-base-uncased,tweet_eval,,text-classification,2.7272339744854407e-05,16,4.0,,2021-12-11T20:59:59.000Z,,3,finetune
marcolatella/hate_trained_42,distilbert-base-uncased,tweet_eval,,text-classification,2.7272339744854407e-05,16,4.0,,2021-12-11T20:38:02.000Z,,3,finetune
marcolatella/prova_Classi2,distilbert-base-uncased,tweet_eval,,text-classification,0.002739353542073378,32,1.0,,2021-12-10T16:37:19.000Z,,3,finetune
marcolatella/tweet_eval_bench,distilbert-base-uncased,tweet_eval,0.716,text-classification,0.00013441028267541125,32,5.0,,2021-12-09T18:23:38.000Z,,3,finetune
philschmid/BERT-tweet-eval-emotion,bert-base-uncased,tweet_eval,0.8099929627023223,text-classification,,,,,2021-10-07T13:19:11.000Z,,3,finetune
pietrotrope/hate_trained,distilbert-base-uncased,tweet_eval,,text-classification,9.303025140957233e-06,4,4.0,,2021-12-11T01:00:50.000Z,,3,finetune
selimsametoglu/selims,bert-base-uncased,tweet_eval,,text-classification,5e-05,8,3.0,,2022-03-21T11:01:59.000Z,,3,finetune
tamarab/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2022-05-20T19:12:14.000Z,,3,finetune
ShoneRan/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2022-06-02T05:15:37.000Z,,3,finetune
Tomas23/twitter-roberta-base-mar2022-finetuned-emotion,roberta-base,tweet_eval,0.8191,text-classification,2e-05,32,2.0,,2022-07-19T09:48:08.000Z,,3,finetune
bharadwajkg/finetuning-cardiffnlp-twitter-roberta-base-sentiment,roberta-base,tweet_eval,0.7433,text-classification,2e-05,16,2.0,,2022-10-04T12:28:23.000Z,,3,finetune
gvin/testmodel,distilbert-base-uncased,tweet_eval,0.697,text-classification,2e-05,16,2.0,,2022-10-11T12:08:00.000Z,,3,finetune
andersab/tweet_model_sentiment_andersab,distilbert-base-uncased,tweet_eval,,text-classification,2e-05,16,20.0,,2022-11-11T20:49:57.000Z,,3,finetune
cardiffnlp/twitter-roberta-base-dec2021-emotion,roberta-base,tweet_eval,0.8451794510907812,text-classification,,,,,2022-12-02T17:50:35.000Z,,3,finetune
cardiffnlp/twitter-roberta-base-dec2021-sentiment,roberta-base,tweet_eval,0.7128785411917942,text-classification,,,,,2022-12-02T17:50:53.000Z,,3,finetune
cardiffnlp/roberta-base-emoji,roberta-base,tweet_eval,0.46048,text-classification,,,,,2022-12-02T17:54:06.000Z,,3,finetune
gabella/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-01-11T16:51:12.000Z,,3,finetune
gneuert/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-01-06T18:04:07.000Z,,3,finetune
nizar-sayad/twitter-roberta-base-sentiment-latest,roberta-base,tweet_eval,,text-classification,,,,,2023-04-20T13:04:22.000Z,,3,finetune
BenPerlin/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T15:34:36.000Z,,3,finetune
paku90/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T15:48:07.000Z,,3,finetune
margotwagner/roberta-psychotherapy-eval,roberta-base,tweet_eval,,text-classification,,,,,2023-10-24T18:15:54.000Z,,3,finetune
Priyanka-Balivada/bert-5-epoch-sentiment,bert-base-uncased,tweet_eval,0.6754,text-classification,2e-05,16,5.0,,2023-10-29T14:56:08.000Z,,3,finetune
HSIEN1009/distilbert-base-uncased-finetuned-tweet_eval_sentiment,distilbert-base-uncased,tweet_eval,0.6876,text-classification,2e-05,32,2.0,,2024-01-08T14:49:01.000Z,,3,finetune
researchworkai/Sentiment-roBERTa-Twitter,roberta-base,tweet_eval,,text-classification,,,,,2024-01-09T11:49:19.000Z,,3,finetune
TransferGraph/distilbert-base-uncased-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6764,text-classification,0.0005,32,8.0,,2024-02-29T13:33:52.000Z,,3,finetune
TransferGraph/riyadhctg_distilbert-base-uncased-finetuned-cola-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6618,text-classification,0.0005,32,8.0,,2024-02-27T16:59:33.000Z,,3,finetune
TransferGraph/PrasunMishra_finetuning-sentiment-model-3000-samples-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6691,text-classification,0.0005,32,8.0,,2024-02-27T17:01:56.000Z,,3,finetune
TransferGraph/Jeevesh8_6ep_bert_ft_cola-47-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6408,text-classification,0.0005,32,8.0,,2024-02-29T13:31:19.000Z,,3,finetune
TransferGraph/Alassea_glue_sst_classifier-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6649,text-classification,0.0005,32,8.0,,2024-02-29T13:35:28.000Z,,3,finetune
TransferGraph/navsad_navid_test_bert-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6209,text-classification,0.0005,32,8.0,,2024-02-29T13:35:09.000Z,,3,finetune
TransferGraph/Jeevesh8_lecun_feather_berts-8-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6754,text-classification,0.0005,32,8.0,,2024-02-29T13:35:28.000Z,,3,finetune
TransferGraph/aychang_bert-base-cased-trec-coarse-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6534,text-classification,0.0005,32,8.0,,2024-02-29T13:36:35.000Z,,3,finetune
TransferGraph/matthewburke_korean_sentiment-finetuned-lora-tweet_eval_irony,,tweet_eval,0.5906,text-classification,0.0005,32,8.0,,2024-02-27T17:29:26.000Z,,3,finetune
TransferGraph/bondi_bert-semaphore-prediction-w4-finetuned-lora-tweet_eval_irony,,tweet_eval,0.5895,text-classification,0.0005,32,8.0,,2024-02-27T17:31:22.000Z,,3,finetune
TransferGraph/ASCCCCCCCC_distilbert-base-chinese-amazon_zh_20000-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6241,text-classification,0.0005,32,8.0,,2024-02-29T13:38:23.000Z,,3,finetune
TransferGraph/saattrupdan_job-listing-relevance-model-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.623,text-classification,0.0004,32,4.0,,2024-02-29T13:06:22.000Z,,3,finetune
TransferGraph/aXhyra_presentation_sentiment_1234567-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.7433,text-classification,0.0004,32,4.0,,2024-02-29T12:49:27.000Z,,3,finetune
TransferGraph/Jeevesh8_feather_berts_96-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.746,text-classification,0.0004,32,4.0,,2024-02-29T12:49:48.000Z,,3,finetune
TransferGraph/cardiffnlp_twitter-roberta-base-2021-124m-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.7941,text-classification,0.0004,32,4.0,,2024-02-29T12:50:50.000Z,,3,finetune
TransferGraph/Hate-speech-CNERG_bert-base-uncased-hatexplain-rationale-two-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.7353,text-classification,0.0004,32,4.0,,2024-02-29T12:52:34.000Z,,3,finetune
TransferGraph/emrecan_bert-base-multilingual-cased-snli_tr-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.5401,text-classification,0.0004,32,4.0,,2024-02-29T12:52:40.000Z,,3,finetune
TransferGraph/classla_bcms-bertic-parlasent-bcs-ter-finetuned-lora-tweet_eval_emotion,,tweet_eval,0.4947,text-classification,0.0004,32,4.0,,2024-02-29T12:53:07.000Z,,3,finetune
TransferGraph/Jeevesh8_init_bert_ft_qqp-49-finetuned-lora-tweet_eval_hate,,tweet_eval,0.722,text-classification,0.0004,32,4.0,,2024-02-29T13:40:36.000Z,,3,finetune
TransferGraph/aXhyra_presentation_sentiment_1234567-finetuned-lora-tweet_eval_hate,,tweet_eval,0.759,text-classification,0.0004,32,4.0,,2024-02-29T13:42:13.000Z,,3,finetune
TransferGraph/oferweintraub_bert-base-finance-sentiment-noisy-search-finetuned-lora-tweet_eval_hate,,tweet_eval,0.7,text-classification,0.0004,32,4.0,,2024-02-29T13:43:00.000Z,,3,finetune
TransferGraph/markt23917_finetuning-sentiment-model-3000-samples-finetuned-lora-tweet_eval_hate,,tweet_eval,0.748,text-classification,0.0004,32,4.0,,2024-02-29T13:43:09.000Z,,3,finetune
TransferGraph/finiteautomata_betonews-tweetcontext-finetuned-lora-tweet_eval_hate,,tweet_eval,0.676,text-classification,0.0004,32,4.0,,2024-02-29T13:46:52.000Z,,3,finetune
TransferGraph/cardiffnlp_twitter-roberta-base-2021-124m-finetuned-lora-tweet_eval_hate,,tweet_eval,0.772,text-classification,0.0004,32,4.0,,2024-02-29T13:47:15.000Z,,3,finetune
TransferGraph/michiyasunaga_LinkBERT-base-finetuned-lora-tweet_eval_hate,,tweet_eval,0.722,text-classification,0.0004,32,4.0,,2024-02-29T13:47:59.000Z,,3,finetune
TransferGraph/fabriceyhc_bert-base-uncased-imdb-finetuned-lora-tweet_eval_hate,,tweet_eval,0.688,text-classification,0.0004,32,4.0,,2024-02-29T13:51:40.000Z,,3,finetune
TransferGraph/Raychanan_COVID_RandomOver-finetuned-lora-tweet_eval_hate,,tweet_eval,0.573,text-classification,0.0004,32,4.0,,2024-02-29T13:52:32.000Z,,3,finetune
TransferGraph/Jeevesh8_feather_berts_92-finetuned-lora-tweet_eval_hate,,tweet_eval,0.745,text-classification,0.0004,32,4.0,,2024-02-29T13:53:00.000Z,,3,finetune
TransferGraph/JonatanGk_roberta-base-ca-finetuned-hate-speech-offensive-catalan-finetuned-lora-tweet_eval_hate,,tweet_eval,0.707,text-classification,0.0004,32,4.0,,2024-02-29T13:53:20.000Z,,3,finetune
tanzeelabbas114/emojibert-sentiment-analysis,bert-base-uncased,tweet_eval,,text-classification,,,,,2025-12-17T17:12:37.000Z,,3,finetune
olafuraron/twitter-roberta-base-sentiment-latest-safetensors,roberta-base,tweet_eval,,text-classification,,,,,2026-01-08T20:20:18.000Z,,3,finetune
ENTUM-AI/roberta-toxic-classifier-en,roberta-base,tweet_eval,,text-classification,,,,,2026-03-06T10:12:09.000Z,,3,finetune
giovannibonisoli/sentiment-model,roberta-base,tweet_eval,,text-classification,,,,,2026-05-14T13:12:47.000Z,,3,finetune
aXhyra/demo_irony_31415,distilbert-base-uncased,tweet_eval,,text-classification,2.7735294032820418e-05,8,4.0,,2021-12-13T17:54:43.000Z,,2,finetune
aXhyra/presentation_emotion_1234567,distilbert-base-uncased,tweet_eval,,text-classification,5.18796906442746e-05,8,4.0,,2021-12-15T10:46:43.000Z,,2,finetune
aXhyra/presentation_sentiment_1234567,distilbert-base-uncased,tweet_eval,,text-classification,7.2792011721188e-06,4,4.0,,2021-12-14T23:23:42.000Z,,2,finetune
marcolatella/emotion_trained_1234567,distilbert-base-uncased,tweet_eval,,text-classification,6.961635072722524e-05,16,4.0,,2021-12-11T21:27:53.000Z,,2,finetune
marcolatella/emotion_trained_31415,distilbert-base-uncased,tweet_eval,,text-classification,6.961635072722524e-05,16,4.0,,2021-12-11T21:18:38.000Z,,2,finetune
marcolatella/hate_trained_31415,distilbert-base-uncased,tweet_eval,,text-classification,2.7272339744854407e-05,16,4.0,,2021-12-11T20:49:00.000Z,,2,finetune
mehnaazasad/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2022-05-25T03:35:20.000Z,,2,finetune
cardiffnlp/twitter-roberta-base-dec2021-emoji,roberta-base,tweet_eval,0.45838,text-classification,,,,,2022-12-02T17:50:16.000Z,,2,finetune
cardiffnlp/roberta-base-hate,roberta-base,tweet_eval,0.5131313131313131,text-classification,,,,,2022-12-02T17:55:01.000Z,,2,finetune
cardiffnlp/twitter-roberta-base-2021-124m-emoji,roberta-base,tweet_eval,0.46162,text-classification,,,,,2022-12-02T17:52:08.000Z,,2,finetune
cardiffnlp/roberta-base-irony,roberta-base,tweet_eval,0.7040816326530612,text-classification,,,,,2022-12-02T17:53:27.000Z,,2,finetune
muhtasham/small-mlm-imdb-target-tweet,bert-base-uncased,tweet_eval,0.7406,text-classification,3e-05,32,200.0,,2022-12-11T07:07:25.000Z,,2,finetune
muhtasham/base-mlm-imdb-target-tweet,bert-base-uncased,tweet_eval,0.7754,text-classification,3e-05,32,200.0,,2022-12-11T07:16:23.000Z,,2,finetune
muhtasham/tiny-mlm-tweet-target-tweet,bert-base-uncased,tweet_eval,0.7166,text-classification,3e-05,32,200.0,,2022-12-11T07:19:55.000Z,,2,finetune
muhtasham/mini-mlm-tweet-target-tweet,bert-base-uncased,tweet_eval,0.7353,text-classification,3e-05,32,200.0,,2022-12-11T07:22:37.000Z,,2,finetune
muhtasham/small-mlm-tweet-target-tweet,bert-base-uncased,tweet_eval,0.7513,text-classification,3e-05,32,200.0,,2022-12-11T07:25:06.000Z,,2,finetune
muhtasham/base-mlm-tweet-target-tweet,bert-base-uncased,tweet_eval,0.7674,text-classification,3e-05,32,200.0,,2022-12-11T07:36:25.000Z,,2,finetune
hjashnsaz/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-01-05T20:05:09.000Z,,2,finetune
mahmoudNG/emotion_model,distilbert-base-uncased,tweet_eval,0.7938,text-classification,2e-05,16,5.0,,2023-01-19T19:18:38.000Z,,2,finetune
qilin1/distilbert-base-uncased-finetuned-emoji,distilbert-base-uncased,tweet_eval,0.3484,text-classification,1e-05,64,6.0,,2023-03-01T02:00:20.000Z,,2,finetune
501Good/distilbert-base-cased-finetuned-tweeteval,distilbert-base-uncased,tweet_eval,0.7888,text-classification,2e-05,16,5.0,,2023-05-10T08:49:50.000Z,,2,finetune
rayjyate/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T14:33:36.000Z,,2,finetune
ahearnlr/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T15:30:44.000Z,,2,finetune
gapvandyaisummer/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T15:41:09.000Z,,2,finetune
jsilver/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T15:33:48.000Z,,2,finetune
YuruiGao/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T15:36:04.000Z,,2,finetune
GyverTc/bert-emotion,distilbert-base-uncased,tweet_eval,,text-classification,5e-05,4,3.0,,2023-05-30T16:17:22.000Z,,2,finetune
adisrini11/my_awesome_model,distilbert-base-uncased,tweet_eval,0.791,text-classification,2e-05,16,2.0,,2023-06-17T22:49:00.000Z,,2,finetune
ZachBeesley/Tweet-Emotion,distilbert-base-uncased,tweet_eval,0.7692,text-classification,,,,,2023-07-30T23:56:15.000Z,,2,finetune
Dangurangu/distilbert-base-uncased-finetuned-sentiment,distilbert-base-uncased,tweet_eval,0.7285,text-classification,2e-05,64,2.0,,2023-08-07T08:55:47.000Z,,2,finetune
Priyanka-Balivada/electra-1-epoch-sentiment,google/electra-base-discriminator,tweet_eval,0.6924,text-classification,2e-05,16,1.0,,2023-10-29T10:03:22.000Z,,2,finetune
google/electra-base-discriminator,,tweet_eval,0.6924,text-classification,2e-05,16,1.0,,2023-10-29T10:03:22.000Z,,,lineage
Priyanka-Balivada/electra-5-epoch-sentiment,google/electra-base-discriminator,tweet_eval,0.6894,text-classification,2e-05,16,5.0,,2024-02-20T14:32:28.000Z,,2,finetune
sberryman/twitter-roberta-base-sentiment-fork-latest,roberta-base,tweet_eval,,text-classification,,,,,2023-11-16T22:37:56.000Z,,2,finetune
salmaaidli/RoBerta,roberta-base,tweet_eval,,text-classification,1e-05,64,10.0,,2023-11-23T23:14:50.000Z,,2,finetune
TransferGraph/philschmid_tiny-distilbert-classification-finetuned-lora-tweet_eval_irony,,tweet_eval,0.4775,text-classification,0.0005,32,8.0,,2024-02-27T16:57:02.000Z,,2,finetune
TransferGraph/abdelkader_distilbert-base-uncased-finetuned-emotion-finetuned-lora-tweet_eval_irony,,tweet_eval,0.645,text-classification,0.0005,32,8.0,,2024-02-27T17:01:26.000Z,,2,finetune
TransferGraph/Splend1dchan_bert-base-uncased-slue-goldtrascription-e3-lr1e-4-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6869,text-classification,0.0005,32,8.0,,2024-02-27T17:03:51.000Z,,2,finetune
TransferGraph/crcb_isear_bert-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6953,text-classification,0.0005,32,8.0,,2024-02-27T17:03:54.000Z,,2,finetune
TransferGraph/connectivity_cola_6ep_ft-33-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6419,text-classification,0.0005,32,8.0,,2024-02-27T17:04:07.000Z,,2,finetune
TransferGraph/Jeevesh8_init_bert_ft_qqp-49-finetuned-lora-tweet_eval_irony,,tweet_eval,0.623,text-classification,0.0005,32,8.0,,2024-02-27T17:04:08.000Z,,2,finetune
TransferGraph/Jeevesh8_feather_berts_46-finetuned-lora-tweet_eval_irony,,tweet_eval,0.7026,text-classification,0.0005,32,8.0,,2024-02-29T13:27:21.000Z,,2,finetune
TransferGraph/connectivity_cola_6ep_ft-22-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6408,text-classification,0.0005,32,8.0,,2024-02-29T13:27:14.000Z,,2,finetune
TransferGraph/connectivity_bert_ft_qqp-7-finetuned-lora-tweet_eval_irony,,tweet_eval,0.6471,text-classification,0.0005,32,8.0,,2024-02-29T13:28:20.000Z,,2,finetune
TransferGraph/pietrotrope_emotion_final-finetuned-lora-tweet_eval_irony,,tweet_eval,0.644,text-classification,0.0005,32,8.0,,2024-02-29T13:28:49.000Z,,2,finetune
